,ID,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I)
1911,05222884,15.27,0.007,0.545,0.01,1.157,0.012,6.631937431123282,1.349696,0.638744,0.710952
1915,05223541,16.231,0.014,0.571,0.02,1.253,0.024,7.592937431123284,1.445696,0.664744,0.7809520000000001
1917,05223378,17.467,0.043,0.702,0.056,1.391,0.064,8.82893743112328,1.583696,0.7957439999999998,0.7879520000000002
1926,05223691,17.471,0.041,0.641,0.055,1.358,0.066,8.832937431123282,1.550696,0.7347439999999998,0.8159520000000002
1927,05223653,16.643,0.02,0.563,0.028,1.188,0.034,8.004937431123283,1.3806960000000001,0.656744,0.7239520000000002
1932,05223708,17.25,0.034,0.629,0.045,1.176,0.061,8.611937431123282,1.3686960000000001,0.7227439999999998,0.6459520000000003
1937,05224487,17.534,0.044,0.743,0.056,1.394,0.069,8.895937431123281,1.586696,0.8367439999999999,0.7499520000000002
1939,05224307,14.899,0.005,0.728,0.006,1.478,0.007,6.260937431123281,1.6706960000000002,0.821744,0.8489520000000002
1943,05224014,17.614,0.045,0.726,0.058,1.339,0.073,8.975937431123283,1.531696,0.8197439999999998,0.7119520000000001
1946,05225665,17.493,0.043,0.564,0.058,1.163,0.072,8.85493743112328,1.3556960000000002,0.6577439999999999,0.6979520000000003
1949,05225044,15.41,0.007,0.545,0.01,1.116,0.012,6.771937431123282,1.308696,0.638744,0.6699520000000001
1951,05224998,11.816,0.001,0.312,0.001,0.652,0.001,3.177937431123283,0.844696,0.40574399999999994,0.43895200000000006
1953,05224712,16.828,0.024,0.572,0.033,1.173,0.043,8.189937431123282,1.365696,0.6657439999999999,0.6999520000000001
1961,05225364,17.624,0.048,0.503,0.067,1.225,0.08,8.985937431123281,1.417696,0.5967439999999999,0.8209520000000001
1962,05225273,15.229,0.007,0.627,0.009,1.256,0.01,6.590937431123281,1.4486960000000002,0.720744,0.7279520000000002
1963,05224860,16.691,0.022,0.741,0.027,1.424,0.032,8.052937431123281,1.616696,0.8347439999999999,0.781952
1966,05225042,15.608,0.008,0.685,0.011,1.399,0.013,6.969937431123283,1.591696,0.7787439999999999,0.8129520000000001
1968,05225618,16.484,0.016,0.632,0.022,1.214,0.028,7.845937431123284,1.406696,0.725744,0.680952
1969,05225770,16.52,0.017,0.975,0.021,1.622,0.025,7.881937431123282,1.8146960000000003,1.068744,0.7459520000000004
1970,05225943,17.299,0.035,0.701,0.045,1.343,0.056,8.660937431123282,1.535696,0.7947439999999999,0.740952
1974,05225458,16.595,0.018,0.781,0.024,1.612,0.027,7.956937431123281,1.804696,0.874744,0.9299520000000001
1977,05230059,16.908,0.026,1.051,0.03,2.261,0.029,8.269937431123283,2.453696,1.144744,1.308952
1979,05230452,15.996,0.012,0.599,0.018,1.157,0.022,7.357937431123283,1.349696,0.692744,0.656952
1980,05230694,14.676,0.004,0.541,0.006,1.093,0.008,6.037937431123282,1.285696,0.634744,0.650952
1981,05230657,16.708,0.024,0.791,0.03,1.461,0.033,8.06993743112328,1.6536960000000003,0.884744,0.7689520000000003
1983,05230483,15.956,0.012,0.578,0.018,1.129,0.021,7.317937431123282,1.321696,0.6717439999999999,0.6499520000000001
1988,05230206,12.241,0.001,0.659,0.001,1.319,0.001,3.602937431123282,1.511696,0.7527440000000001,0.7589519999999998
1992,05231461,15.1,0.006,0.515,0.009,1.059,0.01,6.461937431123282,1.2516960000000001,0.608744,0.6429520000000002
1994,05231408,15.95,0.012,0.735,0.016,1.44,0.018,7.311937431123281,1.632696,0.8287439999999999,0.803952
1995,05231223,16.303,0.015,0.646,0.021,1.272,0.024,7.664937431123283,1.4646960000000002,0.739744,0.7249520000000003
1996,05231162,12.78,0.002,0.677,0.002,1.34,0.003,4.1419374311232815,1.5326960000000003,0.7707439999999999,0.7619520000000004
1998,05231040,17.47,0.044,0.587,0.06,1.1,0.078,8.831937431123281,1.292696,0.680744,0.611952
2000,05230941,16.767,0.024,0.627,0.031,1.229,0.039,8.128937431123282,1.421696,0.720744,0.700952
2003,05230909,17.383,0.042,0.617,0.056,1.252,0.065,8.744937431123281,1.4446960000000002,0.710744,0.7339520000000002
2008,05232625,15.997,0.012,0.432,0.018,0.879,0.025,7.358937431123282,1.071696,0.525744,0.545952
2010,05232607,17.52,0.046,1.002,0.054,1.588,0.063,8.881937431123282,1.780696,1.095744,0.684952
2013,05232373,14.591,0.004,0.54,0.006,1.092,0.008,5.952937431123281,1.284696,0.6337440000000001,0.650952
2016,05232502,14.417,0.004,0.498,0.006,1.034,0.007,5.778937431123282,1.2266960000000002,0.591744,0.6349520000000002
2018,05232359,12.597,0.001,0.715,0.001,1.401,0.001,3.9589374311232817,1.5936960000000002,0.8087439999999999,0.7849520000000003
2019,05232318,12.597,0.001,0.715,0.001,1.401,0.001,3.9589374311232817,1.5936960000000002,0.8087439999999999,0.7849520000000003
2020,05231728,16.13,0.013,0.702,0.018,1.399,0.02,7.491937431123281,1.591696,0.7957439999999998,0.7959520000000002
2021,05231866,15.963,0.012,1.082,0.015,2.361,0.014,7.324937431123281,2.553696,1.1757440000000001,1.3779519999999998
2025,05232250,17.192,0.037,0.477,0.05,1.066,0.065,8.553937431123282,1.2586960000000003,0.5707439999999999,0.6879520000000003
2026,05233533,16.192,0.015,0.593,0.021,1.151,0.026,7.553937431123282,1.3436960000000002,0.686744,0.6569520000000002
2031,05233668,15.768,0.01,0.556,0.015,1.119,0.017,7.129937431123283,1.3116960000000002,0.6497440000000001,0.6619520000000001
2032,05233096,16.804,0.024,0.479,0.035,1.131,0.041,8.16593743112328,1.3236960000000002,0.5727439999999999,0.7509520000000003
2033,05233004,17.404,0.045,0.502,0.064,1.144,0.075,8.765937431123282,1.336696,0.595744,0.740952
2034,05233565,17.277,0.037,0.455,0.053,1.004,0.069,8.638937431123283,1.196696,0.5487439999999999,0.6479520000000001
2035,05233322,16.682,0.023,0.446,0.032,1.037,0.038,8.04393743112328,1.229696,0.539744,0.6899519999999999
2037,05233056,17.056,0.032,0.572,0.045,1.121,0.056,8.417937431123283,1.313696,0.6657439999999999,0.6479520000000001
2038,05234120,15.781,0.011,0.45,0.016,1.015,0.02,7.142937431123283,1.207696,0.543744,0.6639520000000001
2040,05233862,17.359,0.041,0.339,0.061,0.951,0.078,8.720937431123284,1.143696,0.4327440000000001,0.710952
2041,05234009,17.52,0.046,0.546,0.063,1.32,0.075,8.881937431123282,1.5126960000000003,0.6397440000000001,0.8729520000000002
2045,05223020,15.767,0.01,0.754,0.013,1.469,0.015,7.128937431123282,1.6616960000000003,0.8477439999999998,0.8139520000000005
2046,05223469,17.265,0.035,0.605,0.047,1.122,0.063,8.626937431123283,1.3146960000000003,0.698744,0.6159520000000003
2050,05223331,15.71,0.01,0.608,0.014,1.243,0.016,7.071937431123283,1.4356960000000003,0.7017439999999999,0.7339520000000004
2054,05224484,17.166,0.033,0.613,0.043,1.295,0.052,8.527937431123283,1.487696,0.706744,0.7809519999999999
2055,05224155,16.095,0.013,0.725,0.017,1.417,0.019,7.456937431123281,1.6096960000000002,0.8187439999999999,0.7909520000000003
2057,05224115,16.576,0.019,0.662,0.025,1.337,0.032,7.937937431123283,1.5296960000000002,0.755744,0.7739520000000002
2058,05224298,17.563,0.044,0.768,0.056,1.495,0.067,8.924937431123281,1.687696,0.8617440000000001,0.825952
2062,05223824,15.975,0.011,0.555,0.016,1.098,0.02,7.336937431123282,1.2906960000000003,0.648744,0.6419520000000003
2063,05223951,16.934,0.025,0.825,0.031,1.724,0.033,8.295937431123283,1.9166960000000002,0.918744,0.9979520000000002
2069,05225958,12.961,0.002,0.479,0.003,0.996,0.003,4.322937431123282,1.188696,0.5727439999999999,0.615952
2072,05225803,15.57,0.009,0.53,0.013,1.147,0.016,6.931937431123282,1.3396960000000002,0.6237440000000001,0.7159520000000001
2075,05225454,17.481,0.044,0.628,0.058,1.262,0.07,8.842937431123284,1.454696,0.7217439999999999,0.732952
2077,05225020,16.477,0.017,0.595,0.023,1.227,0.029,7.8389374311232825,1.4196960000000003,0.688744,0.7309520000000003
2079,05225428,15.432,0.008,0.562,0.011,1.137,0.013,6.7939374311232825,1.329696,0.6557440000000001,0.6739519999999999
2083,05225275,15.842,0.01,0.658,0.014,1.335,0.016,7.203937431123283,1.527696,0.751744,0.775952
2088,05231006,17.375,0.037,0.448,0.055,1.118,0.067,8.736937431123282,1.3106960000000003,0.541744,0.7689520000000003
2089,05231489,17.62,0.049,0.46,0.074,1.073,0.089,8.981937431123283,1.265696,0.553744,0.7119519999999999
2092,05230134,15.293,0.007,0.693,0.009,1.447,0.01,6.654937431123281,1.639696,0.7867439999999999,0.8529520000000002
2094,05230027,16.746,0.024,0.618,0.032,1.265,0.039,8.10793743112328,1.457696,0.7117439999999999,0.7459520000000002
2096,05230861,16.479,0.017,0.763,0.023,1.503,0.025,7.840937431123281,1.695696,0.856744,0.8389520000000001
2103,05230007,16.06,0.012,0.587,0.018,1.223,0.02,7.421937431123281,1.4156960000000003,0.680744,0.7349520000000003
2104,05230304,17.302,0.039,0.529,0.055,1.148,0.066,8.663937431123282,1.340696,0.622744,0.7179520000000001
2106,05230346,16.014,0.012,0.813,0.015,1.586,0.017,7.3759374311232815,1.7786960000000003,0.906744,0.8719520000000003
2107,05230547,16.812,0.026,0.766,0.033,1.421,0.037,8.173937431123283,1.6136960000000002,0.8597439999999998,0.7539520000000004
2108,05230513,16.709,0.024,0.607,0.03,1.113,0.039,8.070937431123282,1.305696,0.700744,0.6049519999999999
2109,05230345,10.991,0.001,0.737,0.001,1.402,0.001,2.352937431123282,1.5946960000000001,0.8307439999999999,0.7639520000000002
2111,05230612,15.074,0.006,0.753,0.009,1.505,0.009,6.435937431123282,1.6976959999999999,0.8467439999999999,0.8509519999999999
2118,05232027,16.047,0.012,0.562,0.018,1.166,0.021,7.408937431123283,1.358696,0.6557440000000001,0.7029519999999998
2119,05232793,14.692,0.004,0.717,0.006,1.426,0.007,6.053937431123282,1.6186960000000001,0.8107439999999999,0.8079520000000002
2120,05232871,17.301,0.037,0.528,0.052,1.035,0.068,8.66293743112328,1.2276960000000001,0.6217440000000001,0.605952
2122,05232796,17.048,0.028,0.579,0.038,1.207,0.046,8.40993743112328,1.3996960000000003,0.672744,0.7269520000000003
2123,05232641,14.92,0.005,0.469,0.008,0.995,0.01,6.281937431123282,1.187696,0.5627439999999999,0.6249520000000002
2125,05231984,16.057,0.012,0.644,0.017,1.337,0.019,7.418937431123281,1.5296960000000002,0.737744,0.7919520000000002
2135,05232277,16.354,0.017,0.452,0.026,0.816,0.037,7.715937431123281,1.008696,0.545744,0.46295200000000003
2137,05232261,16.789,0.027,0.618,0.035,1.224,0.042,8.150937431123284,1.4166960000000002,0.7117439999999999,0.7049520000000002
2138,05232189,17.31,0.035,0.597,0.05,1.33,0.056,8.67193743112328,1.522696,0.690744,0.831952
2148,05233944,16.696,0.025,0.487,0.035,1.062,0.044,8.057937431123284,1.2546960000000003,0.5807439999999999,0.6739520000000003
2149,05233951,17.581,0.051,0.628,0.07,1.296,0.084,8.942937431123282,1.4886960000000002,0.7217439999999999,0.7669520000000003
2151,05233902,16.505,0.017,0.439,0.026,1.02,0.033,7.866937431123281,1.212696,0.5327439999999999,0.6799520000000001
2152,05233561,16.302,0.015,0.572,0.021,1.119,0.026,7.663937431123282,1.3116960000000002,0.6657439999999999,0.6459520000000003
2153,05233207,15.558,0.009,0.417,0.013,0.866,0.017,6.919937431123282,1.058696,0.5107439999999999,0.5479520000000002
2154,05233262,14.123,0.003,0.47,0.005,1.005,0.005,5.4849374311232815,1.1976959999999999,0.563744,0.6339519999999998
2161,05222843,17.115,0.033,1.069,0.039,1.976,0.041,8.47693743112328,2.1686959999999997,1.1627439999999998,1.005952
2162,05222894,15.841,0.014,0.821,0.018,1.699,0.019,7.202937431123281,1.8916960000000003,0.914744,0.9769520000000003
2163,05223641,17.121,0.031,0.739,0.039,1.408,0.049,8.48293743112328,1.600696,0.8327439999999999,0.767952
2170,05223922,16.938,0.025,1.106,0.029,2.112,0.03,8.299937431123281,2.304696,1.1997440000000001,1.1049519999999997
2176,05223200,17.045,0.033,0.672,0.042,1.359,0.048,8.406937431123284,1.551696,0.765744,0.785952
2180,05223382,17.545,0.081,0.703,0.104,1.154,0.135,8.906937431123284,1.346696,0.7967439999999999,0.549952
2182,05223369,17.218,0.034,0.478,0.048,1.038,0.062,8.579937431123282,1.2306960000000002,0.571744,0.6589520000000002
2184,05223648,15.277,0.007,0.195,0.011,0.483,0.018,6.638937431123281,0.675696,0.28874399999999995,0.386952
2186,05225438,17.495,0.044,0.58,0.058,1.105,0.077,8.856937431123283,1.297696,0.6737439999999999,0.6239520000000001
2189,05225452,16.397,0.017,0.776,0.022,1.425,0.027,7.758937431123281,1.6176960000000002,0.8697440000000001,0.7479520000000002
2196,05224655,17.477,0.039,1.038,0.046,1.971,0.049,8.838937431123282,2.163696,1.131744,1.0319519999999998
2199,05224850,17.089,0.03,0.677,0.039,1.333,0.048,8.45093743112328,1.5256960000000002,0.7707439999999999,0.7549520000000003
2201,05225150,16.639,0.025,0.737,0.037,1.012,0.048,8.000937431123281,1.204696,0.8307439999999999,0.37395200000000006
2202,05225908,15.742,0.009,0.519,0.013,1.074,0.017,7.103937431123283,1.2666960000000003,0.612744,0.6539520000000003
2205,05225172,11.442,0.001,0.392,0.001,0.825,0.001,2.8039374311232823,1.0176960000000002,0.485744,0.5319520000000002
2208,05225426,17.466,0.043,0.985,0.053,1.466,0.066,8.827937431123283,1.6586960000000002,1.078744,0.5799520000000002
2210,05230000,17.044,0.034,0.801,0.044,1.203,0.058,8.405937431123283,1.3956960000000003,0.894744,0.5009520000000003
2217,05230867,16.265,0.015,0.568,0.021,1.148,0.026,7.626937431123283,1.340696,0.6617439999999999,0.6789520000000002
2220,05230042,14.077,0.003,0.733,0.004,1.482,0.004,5.438937431123282,1.6746960000000002,0.8267439999999999,0.8479520000000003
2226,05230089,17.501,0.045,0.728,0.058,1.157,0.078,8.862937431123283,1.349696,0.821744,0.527952
2230,05230182,16.995,0.029,0.522,0.04,1.058,0.052,8.356937431123283,1.2506960000000003,0.6157440000000001,0.6349520000000002
2233,05230271,17.194,0.034,0.488,0.049,1.057,0.064,8.555937431123281,1.249696,0.581744,0.6679519999999999
2237,05232236,16.963,0.027,0.554,0.038,1.228,0.047,8.324937431123283,1.4206960000000002,0.6477440000000001,0.7729520000000001
2239,05232486,14.237,0.003,0.76,0.004,1.45,0.004,5.598937431123282,1.6426960000000002,0.8537440000000001,0.7889520000000001
2240,05232962,17.622,0.055,0.621,0.075,1.245,0.092,8.983937431123282,1.437696,0.714744,0.722952
2241,05232540,16.391,0.018,0.535,0.025,1.081,0.031,7.75293743112328,1.273696,0.628744,0.644952
2243,05232753,14.747,0.005,0.471,0.007,0.972,0.009,6.108937431123282,1.164696,0.5647439999999999,0.599952
2245,05232090,15.638,0.01,0.535,0.014,1.068,0.018,6.999937431123282,1.260696,0.628744,0.6319520000000001
2248,05232070,17.565,0.048,0.572,0.067,1.343,0.076,8.926937431123283,1.535696,0.6657439999999999,0.8699520000000001
2252,05231663,14.392,0.005,-2.893,0.061,-2.505,0.098,5.753937431123282,-2.312304,-2.7992559999999997,0.4869519999999996
2257,05231778,15.557,0.009,0.5,0.013,1.056,0.016,6.9189374311232825,1.248696,0.593744,0.654952
2258,05231984,13.528,0.002,0.722,0.003,1.448,0.003,4.889937431123283,1.640696,0.8157439999999998,0.8249520000000001
2259,05231784,17.214,0.036,0.617,0.049,1.093,0.061,8.57593743112328,1.285696,0.710744,0.5749519999999999
2260,05231984,13.528,0.002,0.722,0.003,1.448,0.003,4.889937431123283,1.640696,0.8157439999999998,0.8249520000000001
2265,05233987,15.024,0.011,0.606,0.015,1.267,0.017,6.385937431123281,1.4596959999999999,0.6997439999999999,0.759952
2267,05233425,15.109,0.007,0.715,0.01,1.383,0.01,6.470937431123282,1.575696,0.8087439999999999,0.7669520000000001
2270,05233354,15.234,0.007,0.464,0.01,0.968,0.013,6.595937431123282,1.160696,0.557744,0.6029519999999999
2,05212169,18.973,0.076,0.441,0.1,1.308,0.11,10.334937431123281,1.5006960000000003,0.5347439999999999,0.9659520000000004
3,05212977,18.754,0.035,0.813,0.041,1.633,0.044,10.115937431123283,1.825696,0.906744,0.918952
4,05212097,17.784,0.197,0.568,0.235,1.391,0.222,9.145937431123281,1.583696,0.6617439999999999,0.9219520000000001
7,05212792,17.705,0.013,0.707,0.017,1.403,0.019,9.06693743112328,1.595696,0.8007439999999999,0.7949520000000001
9,05213466,20.088,0.108,1.045,0.122,2.219,0.122,11.449937431123283,2.4116959999999996,1.1387439999999998,1.2729519999999999
10,05214111,20.404,0.15,0.969,0.172,1.782,0.19,11.765937431123282,1.974696,1.062744,0.9119520000000001
11,05213254,18.562,0.028,1.265,0.03,2.833,0.029,9.923937431123283,3.025696,1.358744,1.666952
12,05214179,19.267,0.052,1.022,0.06,1.96,0.062,10.628937431123282,2.1526959999999997,1.115744,1.0369519999999997
13,05214101,17.91,0.017,0.89,0.02,1.716,0.022,9.271937431123282,1.9086960000000002,0.983744,0.9249520000000002
15,05214079,20.084,0.113,1.097,0.127,1.825,0.14,11.445937431123282,2.017696,1.1907439999999998,0.8269520000000001
16,05213964,21.392,0.343,1.45,0.366,3.288,0.358,12.753937431123282,3.4806959999999996,1.543744,1.9369519999999996
17,05214395,20.142,0.114,1.601,0.121,1.611,0.155,11.503937431123282,1.8036960000000002,1.6947439999999998,0.10895200000000038
18,05213341,20.594,0.189,1.241,0.207,2.971,0.199,11.955937431123283,3.163696,1.334744,1.828952
19,05214298,17.904,0.015,0.861,0.018,1.723,0.02,9.265937431123282,1.9156960000000003,0.954744,0.9609520000000003
20,05213321,20.751,0.212,0.749,0.26,2.529,0.23,12.112937431123283,2.7216959999999997,0.8427439999999999,1.8789519999999997
21,05214336,18.472,0.027,0.818,0.031,1.559,0.035,9.833937431123283,1.7516960000000001,0.9117439999999999,0.8399520000000003
22,05215742,19.787,0.08,1.047,0.092,2.385,0.09,11.148937431123281,2.5776959999999995,1.140744,1.4369519999999996
23,05215699,18.225,0.023,0.751,0.027,1.482,0.03,9.586937431123284,1.6746960000000002,0.8447439999999999,0.8299520000000002
24,05215831,20.378,0.138,2.109,0.141,2.392,0.152,11.739937431123282,2.5846959999999997,2.202744,0.3819519999999996
25,05215742,19.787,0.08,1.047,0.092,2.385,0.09,11.148937431123281,2.5776959999999995,1.140744,1.4369519999999996
27,05215643,20.171,0.119,0.978,0.139,1.839,0.145,11.532937431123282,2.0316959999999997,1.071744,0.9599519999999997
28,05214991,18.435,0.026,0.575,0.033,1.236,0.039,9.79693743112328,1.4286960000000002,0.668744,0.7599520000000002
29,05214705,18.66,0.033,1.108,0.038,1.601,0.041,10.021937431123282,1.793696,1.201744,0.591952
30,05215133,20.897,0.221,1.593,0.233,2.865,0.236,12.25893743112328,3.057696,1.6867439999999998,1.3709520000000002
31,05215475,18.069,0.018,0.92,0.021,1.828,0.023,9.430937431123281,2.020696,1.013744,1.006952
32,05215019,18.784,0.036,1.309,0.041,2.743,0.038,10.145937431123281,2.9356959999999996,1.402744,1.5329519999999996
33,05215362,18.7,0.034,0.741,0.045,1.567,0.045,10.061937431123281,1.7596960000000001,0.8347439999999999,0.9249520000000002
34,05215084,18.73,0.032,0.866,0.038,1.747,0.04,10.091937431123283,1.9396960000000003,0.9597439999999999,0.9799520000000004
35,05215365,19.3,0.053,1.078,0.059,2.055,0.061,10.661937431123283,2.247696,1.1717440000000001,1.0759519999999998
36,05215983,17.852,0.014,0.794,0.018,1.595,0.02,9.213937431123282,1.7876960000000002,0.8877439999999999,0.8999520000000003
38,05220269,20.63,0.179,1.224,0.194,2.432,0.194,11.991937431123281,2.6246959999999997,1.317744,1.3069519999999997
39,05221098,18.994,0.045,0.688,0.056,1.267,0.067,10.355937431123282,1.4596959999999999,0.781744,0.6779519999999999
40,05220358,19.54,0.068,0.771,0.082,1.538,0.089,10.901937431123281,1.7306960000000002,0.864744,0.8659520000000003
41,05221330,20.231,0.12,1.024,0.137,2.011,0.144,11.592937431123284,2.203696,1.1177439999999998,1.085952
42,05221133,17.908,0.017,0.799,0.02,1.611,0.023,9.269937431123283,1.8036960000000002,0.892744,0.9109520000000002
44,05220018,18.695,0.033,0.773,0.04,1.658,0.042,10.056937431123282,1.850696,0.866744,0.9839519999999999
46,05221031,20.171,0.122,1.254,0.131,2.154,0.138,11.532937431123282,2.3466959999999997,1.3477439999999998,0.9989519999999998
48,05221122,18.106,0.02,0.826,0.024,1.722,0.027,9.467937431123284,1.914696,0.9197439999999999,0.9949520000000001
49,05220855,21.034,0.264,1.44,0.278,2.372,0.292,12.395937431123281,2.5646959999999996,1.5337439999999998,1.0309519999999999
51,05222081,20.908,0.318,1.178,0.354,2.36,0.355,12.269937431123283,2.5526959999999996,1.2717439999999998,1.2809519999999999
54,05222118,20.544,0.179,1.234,0.195,2.542,0.195,11.905937431123283,2.7346959999999996,1.3277439999999998,1.4069519999999998
55,05221852,18.71,0.032,0.919,0.038,1.761,0.04,10.071937431123283,1.953696,1.0127439999999999,0.9409520000000002
56,05222210,17.992,0.016,1.043,0.019,2.054,0.02,9.353937431123283,2.2466959999999996,1.136744,1.1099519999999996
58,05222322,18.837,0.048,1.126,0.053,2.186,0.054,10.198937431123282,2.3786959999999997,1.2197439999999997,1.158952
62,05212365,18.14,0.019,0.846,0.023,1.709,0.025,9.501937431123283,1.901696,0.9397439999999999,0.9619520000000001
63,05212238,20.832,0.245,3.683,0.243,2.375,0.268,12.193937431123283,2.5676959999999998,3.776744,-1.2090480000000001
64,05212406,19.545,0.071,0.702,0.087,1.548,0.097,10.906937431123284,1.740696,0.7957439999999998,0.9449520000000002
65,05212563,20.675,0.183,0.598,0.24,2.354,0.209,12.036937431123283,2.546696,0.6917439999999999,1.854952
66,05212966,21.326,0.352,1.554,0.367,2.59,0.377,12.687937431123283,2.7826959999999996,1.647744,1.1349519999999995
67,05212868,18.858,0.039,0.796,0.046,1.458,0.051,10.219937431123283,1.6506960000000002,0.8897440000000001,0.7609520000000001
68,05212893,18.25,0.02,0.705,0.025,1.436,0.028,9.611937431123282,1.628696,0.7987439999999999,0.829952
71,05211782,19.776,0.12,1.115,0.135,2.431,0.131,11.137937431123282,2.623696,1.208744,1.4149519999999998
73,05211756,20.488,0.275,1.664,0.284,3.02,0.289,11.849937431123282,3.2126959999999998,1.757744,1.4549519999999998
74,05212065,18.872,0.044,1.016,0.049,1.987,0.051,10.233937431123282,2.179696,1.1097439999999998,1.069952
75,05211996,19.337,0.075,1.054,0.084,2.008,0.088,10.698937431123282,2.2006959999999998,1.147744,1.0529519999999997
77,05211656,20.535,0.176,0.961,0.205,1.879,0.214,11.896937431123282,2.0716959999999998,1.054744,1.0169519999999999
78,05214159,20.629,0.171,1.195,0.191,2.252,0.195,11.990937431123283,2.4446959999999995,1.2887440000000001,1.1559519999999994
79,05213941,19.694,0.083,1.019,0.095,2.09,0.093,11.055937431123281,2.2826959999999996,1.112744,1.1699519999999997
81,05213769,20.947,0.263,1.051,0.295,2.449,0.286,12.308937431123281,2.6416959999999996,1.144744,1.4969519999999996
82,05213687,20.702,0.189,1.056,0.217,1.982,0.225,12.063937431123284,2.174696,1.1497439999999999,1.024952
83,05213671,19.504,0.065,1.527,0.068,3.054,0.068,10.865937431123283,3.2466959999999996,1.620744,1.6259519999999996
84,05213870,17.911,0.015,0.909,0.018,1.846,0.019,9.272937431123284,2.038696,1.002744,1.0359519999999998
85,05213852,17.919,0.016,0.922,0.019,1.853,0.02,9.280937431123283,2.045696,1.015744,1.029952
86,05213903,20.76,0.205,0.853,0.24,2.404,0.226,12.121937431123284,2.5966959999999997,0.946744,1.6499519999999996
88,05213421,21.217,0.339,1.559,0.354,3.093,0.354,12.57893743112328,3.2856959999999997,1.652744,1.6329519999999997
89,05214104,18.024,0.02,1.002,0.024,1.992,0.024,9.385937431123283,2.1846959999999997,1.095744,1.0889519999999997
90,05214065,17.935,0.016,0.891,0.02,1.785,0.021,9.29693743112328,1.9776960000000001,0.9847439999999998,0.9929520000000003
91,05213566,18.915,0.038,1.252,0.041,2.432,0.041,10.276937431123281,2.6246959999999997,1.345744,1.2789519999999996
92,05214228,20.418,0.144,0.697,0.184,1.884,0.176,11.779937431123281,2.0766959999999997,0.7907439999999999,1.2859519999999998
93,05213374,19.28,0.057,0.967,0.064,1.898,0.069,10.641937431123283,2.090696,1.060744,1.029952
94,05213005,19.405,0.059,0.759,0.073,1.755,0.073,10.766937431123283,1.9476959999999999,0.852744,1.094952
95,05213204,19.97,0.104,1.054,0.117,1.942,0.122,11.331937431123281,2.134696,1.147744,0.9869519999999998
96,05213039,20.26,0.139,1.158,0.153,2.307,0.155,11.621937431123284,2.4996959999999997,1.2517439999999997,1.247952
98,05213123,21.023,0.258,1.599,0.269,2.56,0.282,12.384937431123282,2.752696,1.692744,1.0599519999999998
99,05215116,19.65,0.073,1.172,0.081,2.32,0.081,11.01193743112328,2.5126959999999996,1.265744,1.2469519999999996
100,05214948,19.152,0.046,0.879,0.054,1.731,0.058,10.513937431123283,1.9236960000000003,0.9727439999999998,0.9509520000000005
101,05215011,20.21,0.138,1.125,0.151,2.021,0.159,11.571937431123283,2.2136959999999997,1.2187439999999998,0.9949519999999998
104,05215180,18.652,0.032,0.736,0.039,1.431,0.045,10.013937431123283,1.623696,0.829744,0.793952
105,05215197,18.818,0.032,0.703,0.04,1.593,0.042,10.179937431123284,1.785696,0.7967439999999999,0.988952
107,05215283,18.159,0.02,0.835,0.024,1.698,0.026,9.520937431123281,1.890696,0.9287439999999998,0.9619520000000001
109,05215894,18.922,0.035,0.711,0.044,1.543,0.048,10.283937431123283,1.7356960000000001,0.8047439999999999,0.9309520000000002
110,05215296,19.832,0.082,1.485,0.087,2.998,0.086,11.193937431123283,3.190696,1.5787440000000001,1.6119519999999998
111,05215824,17.784,0.013,0.773,0.017,1.525,0.018,9.145937431123281,1.717696,0.866744,0.8509519999999999
112,05214909,18.774,0.032,0.637,0.041,1.447,0.045,10.135937431123283,1.639696,0.7307439999999998,0.9089520000000002
113,05231148,19.884,0.084,1.769,0.087,2.412,0.094,11.245937431123282,2.6046959999999997,1.862744,0.7419519999999997
114,05215975,19.249,0.058,1.068,0.065,1.992,0.07,10.610937431123281,2.1846959999999997,1.1617439999999999,1.0229519999999999
115,05215634,17.857,0.015,0.666,0.019,1.427,0.021,9.218937431123281,1.619696,0.759744,0.859952
116,05215814,21.036,0.259,1.326,0.278,2.786,0.276,12.397937431123284,2.978696,1.419744,1.558952
117,05215301,20.609,0.173,0.981,0.195,1.922,0.209,11.970937431123284,2.114696,1.074744,1.039952
118,05215546,19.328,0.057,0.938,0.065,1.833,0.069,10.689937431123282,2.025696,1.031744,0.993952
119,05215339,19.761,0.082,0.903,0.093,1.835,0.1,11.122937431123281,2.0276959999999997,0.9967439999999999,1.0309519999999999
120,05215325,19.57,0.067,0.714,0.083,1.359,0.098,10.931937431123282,1.551696,0.8077439999999998,0.7439520000000002
121,05214924,18.145,0.019,0.607,0.024,1.201,0.03,9.506937431123282,1.393696,0.700744,0.692952
122,05214936,19.747,0.083,0.808,0.098,1.778,0.101,11.108937431123282,1.970696,0.9017440000000001,1.068952
123,05214876,19.692,0.084,0.715,0.1,1.454,0.11,11.053937431123282,1.6466960000000002,0.8087439999999999,0.8379520000000003
125,05214552,17.966,0.017,0.927,0.02,1.806,0.021,9.327937431123283,1.998696,1.0207439999999999,0.9779520000000002
126,05214568,17.913,0.016,0.928,0.019,1.811,0.02,9.274937431123282,2.0036959999999997,1.021744,0.9819519999999997
