,ID,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I)
461,05215031,15.085,0.006,0.822,0.008,1.593,0.008,6.446937431123283,1.785696,0.9157439999999999,0.8699520000000001
462,05214984,15.559,0.008,0.615,0.011,1.233,0.013,6.920937431123281,1.425696,0.708744,0.716952
471,05215459,14.499,0.004,0.623,0.006,1.223,0.007,5.860937431123283,1.4156960000000003,0.716744,0.6989520000000002
473,05221434,15.348,0.007,0.786,0.009,1.586,0.01,6.709937431123283,1.7786960000000003,0.8797439999999999,0.8989520000000004
481,05220953,16.627,0.02,0.679,0.027,1.393,0.03,7.988937431123281,1.5856960000000002,0.7727440000000001,0.8129520000000001
492,05220511,16.72,0.023,0.601,0.031,1.289,0.036,8.081937431123281,1.4816960000000001,0.694744,0.7869520000000001
504,05222336,14.866,0.005,0.645,0.007,1.304,0.008,6.227937431123282,1.4966960000000002,0.7387439999999998,0.7579520000000004
505,05222416,16.969,0.03,0.701,0.039,1.395,0.043,8.330937431123283,1.587696,0.7947439999999999,0.7929520000000001
506,05222757,17.345,0.039,1.041,0.046,1.998,0.047,8.706937431123281,2.190696,1.1347439999999998,1.0559520000000002
507,05222643,17.044,0.031,0.749,0.041,1.49,0.044,8.405937431123283,1.6826960000000002,0.8427439999999999,0.8399520000000003
517,05214296,16.197,0.014,0.866,0.018,1.672,0.019,7.558937431123281,1.8646960000000001,0.9597439999999999,0.9049520000000002
522,05214683,15.624,0.009,0.772,0.011,1.544,0.013,6.985937431123283,1.736696,0.8657440000000001,0.870952
524,05215826,16.705,0.023,0.827,0.029,1.611,0.03,8.06693743112328,1.8036960000000002,0.9207439999999998,0.8829520000000004
525,05215168,17.418,0.041,0.778,0.052,1.491,0.059,8.779937431123281,1.683696,0.8717439999999999,0.8119520000000002
526,05215462,17.518,0.045,0.948,0.055,1.857,0.058,8.879937431123283,2.049696,1.0417439999999998,1.0079520000000002
532,05220809,16.802,0.026,0.731,0.033,1.389,0.039,8.163937431123282,1.5816960000000002,0.8247439999999999,0.7569520000000003
533,05220273,15.352,0.008,0.518,0.011,1.078,0.014,6.7139374311232825,1.2706960000000003,0.6117440000000001,0.6589520000000002
534,05220182,17.162,0.035,0.607,0.046,1.16,0.056,8.523937431123281,1.3526960000000001,0.700744,0.6519520000000001
535,05220231,14.431,0.004,0.563,0.006,1.148,0.007,5.792937431123281,1.340696,0.656744,0.6839520000000001
537,05220553,14.934,0.005,0.694,0.007,1.287,0.008,6.295937431123281,1.479696,0.7877439999999998,0.6919520000000001
539,05220586,17.508,0.047,0.822,0.058,1.655,0.063,8.869937431123281,1.8476960000000002,0.9157439999999999,0.9319520000000003
541,05221605,17.244,0.038,-0.475,0.101,0.361,0.111,8.605937431123282,0.553696,-0.381256,0.934952
558,05212477,17.582,0.047,1.196,0.053,2.325,0.054,8.943937431123283,2.517696,1.289744,1.227952
565,05214296,16.187,0.013,0.787,0.017,1.684,0.018,7.548937431123283,1.8766960000000001,0.880744,0.9959520000000002
568,05213804,17.207,0.032,0.944,0.038,1.945,0.04,8.568937431123283,2.137696,1.0377439999999998,1.0999520000000003
571,05214336,15.76,0.01,0.714,0.014,1.522,0.015,7.121937431123282,1.7146960000000002,0.8077439999999998,0.9069520000000004
578,05214728,17.572,0.043,0.707,0.056,1.313,0.068,8.933937431123281,1.5056960000000001,0.8007439999999999,0.7049520000000002
579,05214683,15.664,0.009,0.762,0.011,1.565,0.013,7.025937431123282,1.757696,0.8557439999999998,0.9019520000000001
580,05214864,14.413,0.004,0.612,0.006,1.336,0.006,5.774937431123282,1.5286960000000003,0.7057439999999999,0.8229520000000003
585,05215702,17.571,0.048,0.8,0.061,1.561,0.067,8.932937431123284,1.753696,0.8937440000000001,0.8599519999999998
586,05214986,16.847,0.023,1.016,0.027,2.063,0.028,8.208937431123283,2.255696,1.1097439999999998,1.145952
587,05214864,14.413,0.004,0.612,0.006,1.336,0.006,5.774937431123282,1.5286960000000003,0.7057439999999999,0.8229520000000003
588,05215602,16.131,0.014,0.562,0.02,1.211,0.024,7.492937431123282,1.4036960000000003,0.6557440000000001,0.7479520000000002
589,05215602,16.82,0.027,0.499,0.037,1.182,0.043,8.181937431123282,1.374696,0.5927439999999999,0.781952
590,05215826,16.665,0.022,0.734,0.028,1.533,0.03,8.026937431123281,1.725696,0.8277439999999998,0.8979520000000001
591,05215168,17.545,0.044,0.845,0.055,1.7,0.059,8.906937431123284,1.8926960000000002,0.938744,0.9539520000000001
593,05215193,15.171,0.007,0.597,0.009,1.296,0.01,6.5329374311232815,1.4886960000000002,0.690744,0.7979520000000002
594,05215185,15.412,0.008,0.591,0.011,1.321,0.013,6.773937431123283,1.5136960000000002,0.684744,0.8289520000000001
599,05221342,17.469,0.043,0.582,0.062,1.362,0.068,8.830937431123283,1.554696,0.6757439999999999,0.8789520000000002
604,05220809,16.822,0.025,0.709,0.033,1.509,0.038,8.183937431123281,1.7016959999999999,0.8027439999999999,0.898952
608,05220182,17.146,0.034,0.566,0.047,1.213,0.057,8.507937431123283,1.405696,0.6597439999999999,0.7459520000000002
610,05220536,17.579,0.056,1.064,0.065,2.09,0.067,8.940937431123283,2.2826959999999996,1.1577439999999999,1.1249519999999997
611,05220339,15.646,0.01,0.817,0.013,1.66,0.013,7.007937431123283,1.8526960000000001,0.910744,0.9419520000000001
619,05220553,14.95,0.006,0.66,0.008,1.285,0.01,6.311937431123281,1.4776960000000001,0.753744,0.7239520000000002
621,05220586,17.604,0.053,0.922,0.064,1.761,0.066,8.965937431123281,1.953696,1.015744,0.9379520000000001
623,05222857,15.204,0.012,0.652,0.016,1.357,0.019,6.565937431123283,1.5496960000000002,0.745744,0.8039520000000002
627,05222466,17.023,0.037,0.811,0.047,1.556,0.051,8.384937431123282,1.748696,0.904744,0.843952
628,05222715,16.672,0.03,0.679,0.039,1.267,0.046,8.033937431123283,1.4596959999999999,0.7727440000000001,0.6869519999999998
629,05221642,17.028,0.03,0.527,0.045,1.222,0.049,8.38993743112328,1.414696,0.620744,0.793952
630,05222891,15.204,0.012,0.652,0.016,1.357,0.019,6.565937431123283,1.5496960000000002,0.745744,0.8039520000000002
631,05222968,16.09,0.025,0.619,0.033,1.193,0.039,7.451937431123282,1.385696,0.712744,0.672952
632,05222447,16.159,0.017,0.897,0.022,1.707,0.024,7.520937431123281,1.8996960000000003,0.9907440000000001,0.9089520000000002
633,05222400,15.323,0.008,0.602,0.011,1.269,0.013,6.6849374311232825,1.461696,0.6957439999999999,0.7659520000000002
656,05211803,17.096,0.031,1.049,0.036,2.065,0.037,8.457937431123282,2.2576959999999997,1.1427439999999998,1.114952
665,05213328,17.216,0.032,1.113,0.037,2.566,0.035,8.577937431123283,2.7586959999999996,1.2067439999999998,1.5519519999999998
667,05213943,14.897,0.005,0.99,0.006,1.983,0.007,6.258937431123282,2.175696,1.083744,1.0919519999999998
672,05214463,16.424,0.017,1.254,0.02,1.928,0.023,7.785937431123282,2.1206959999999997,1.3477439999999998,0.7729519999999999
677,05213401,16.979,0.027,0.853,0.034,1.858,0.034,8.340937431123281,2.050696,0.946744,1.1039519999999998
680,05213291,15.031,0.005,1.013,0.006,2.069,0.007,6.392937431123283,2.2616959999999997,1.1067439999999997,1.154952
684,05214818,16.623,0.019,0.67,0.026,1.413,0.029,7.984937431123283,1.6056960000000002,0.763744,0.8419520000000003
690,05214972,14.286,0.003,0.536,0.005,1.146,0.005,5.647937431123282,1.3386959999999999,0.6297440000000001,0.7089519999999998
692,05214507,15.815,0.01,0.935,0.012,1.887,0.013,7.176937431123282,2.0796959999999998,1.0287439999999999,1.0509519999999999
693,05214948,17.483,0.041,0.712,0.053,1.584,0.058,8.844937431123283,1.776696,0.805744,0.970952
695,05215014,17.618,0.046,0.818,0.057,1.497,0.065,8.97993743112328,1.6896960000000003,0.9117439999999999,0.7779520000000004
704,05215632,16.386,0.017,0.843,0.022,1.751,0.023,7.747937431123281,1.9436959999999999,0.9367439999999998,1.006952
709,05215217,14.492,0.004,0.797,0.006,1.623,0.006,5.853937431123283,1.8156960000000002,0.890744,0.9249520000000002
710,05215995,12.749,0.001,-0.59,0.003,0.75,0.002,4.110937431123283,0.9426959999999999,-0.496256,1.4389519999999998
712,05215941,16.639,0.022,0.836,0.027,1.731,0.029,8.000937431123281,1.9236960000000003,0.9297439999999999,0.9939520000000004
721,05221458,17.073,0.03,0.642,0.041,1.444,0.046,8.434937431123283,1.636696,0.735744,0.900952
722,05220479,15.117,0.007,0.582,0.01,1.318,0.011,6.478937431123283,1.510696,0.6757439999999999,0.8349520000000001
724,05220697,17.366,0.043,0.774,0.053,1.611,0.058,8.727937431123282,1.8036960000000002,0.8677439999999998,0.9359520000000003
725,05220779,15.468,0.008,0.665,0.011,1.416,0.012,6.829937431123282,1.608696,0.7587439999999999,0.849952
727,05220562,16.884,0.029,0.86,0.035,1.722,0.037,8.245937431123282,1.914696,0.9537439999999999,0.960952
730,05220481,15.002,0.007,0.602,0.009,1.309,0.01,6.363937431123283,1.5016960000000001,0.6957439999999999,0.8059520000000002
742,05222429,17.389,0.044,0.472,0.061,1.166,0.071,8.750937431123281,1.358696,0.565744,0.7929519999999999
745,05222652,17.631,0.055,0.825,0.069,1.601,0.076,8.992937431123282,1.793696,0.918744,0.874952
746,05222676,14.589,0.004,0.594,0.006,1.159,0.007,5.9509374311232826,1.3516960000000002,0.6877439999999999,0.6639520000000003
751,05222192,14.457,0.004,0.622,0.006,1.323,0.006,5.818937431123283,1.515696,0.7157439999999999,0.799952
752,05221592,16.799,0.026,2.684,0.026,4.599,0.026,8.160937431123282,4.791696,2.777744,2.0139519999999997
753,05221719,16.629,0.022,0.877,0.026,1.742,0.028,7.9909374311232835,1.934696,0.970744,0.9639519999999999
757,05221849,17.485,0.045,0.61,0.064,1.421,0.068,8.846937431123282,1.6136960000000002,0.7037439999999999,0.9099520000000003
759,05221956,16.832,0.025,0.927,0.03,1.878,0.031,8.193937431123283,2.070696,1.0207439999999999,1.049952
768,05211662,12.474,0.001,0.446,0.002,0.997,0.002,3.8359374311232823,1.189696,0.539744,0.6499520000000001
780,05213167,11.293,0.001,0.514,0.001,0.994,0.001,2.6549374311232814,1.1866960000000002,0.6077440000000001,0.5789520000000001
781,05214308,16.845,0.024,1.144,0.027,2.183,0.028,8.206937431123281,2.3756959999999996,1.237744,1.1379519999999996
784,05214155,17.425,0.041,0.895,0.05,1.756,0.051,8.786937431123283,1.9486960000000002,0.9887439999999998,0.9599520000000004
786,05214026,16.932,0.026,0.891,0.031,1.862,0.032,8.29393743112328,2.054696,0.9847439999999998,1.069952
803,05215786,17.524,0.051,0.952,0.06,1.848,0.064,8.885937431123283,2.040696,1.0457439999999998,0.9949520000000003
811,05215463,17.496,0.046,0.718,0.061,1.577,0.063,8.85793743112328,1.769696,0.8117439999999998,0.9579520000000001
815,05215654,17.288,0.036,0.871,0.045,1.653,0.049,8.649937431123282,1.845696,0.9647439999999998,0.8809520000000002
817,05215928,16.862,0.027,0.665,0.034,1.329,0.042,8.22393743112328,1.5216960000000002,0.7587439999999999,0.7629520000000003
820,05215801,15.57,0.008,0.818,0.011,1.68,0.011,6.931937431123282,1.8726960000000001,0.9117439999999999,0.9609520000000003
823,05215791,15.216,0.007,0.88,0.009,1.779,0.009,6.577937431123281,1.971696,0.9737439999999999,0.997952
