ID,V,V-I,V-R,R-I
5212528,6.977937431123282,1.535696,0.7787439999999999,0.7569520000000001
5212026,7.0809374311232816,1.793696,0.921744,0.8719520000000001
5220234,8.773937431123281,2.138696,1.1187439999999995,1.0199520000000002
5221173,7.862937431123283,1.744696,0.8717439999999999,0.8729520000000002
5220019,7.743937431123284,1.7066960000000002,0.8777440000000001,0.8289520000000001
5220884,6.017937431123283,2.257696,1.1547439999999998,1.102952
5212242,5.162937431123282,1.755696,0.872744,0.8829520000000002
5211764,8.88993743112328,2.112696,1.131744,0.9809519999999996
5214145,8.681937431123282,2.166696,1.144744,1.021952
5214682,7.673937431123283,2.007696,0.9647439999999998,1.042952
5214752,5.306937431123282,1.3476960000000002,0.658744,0.6889520000000002
5220714,8.718937431123281,2.008696,1.025744,0.982952
5221242,7.981937431123283,2.042696,1.0417439999999998,1.000952
5220364,7.126937431123283,1.643696,0.8287439999999999,0.8149520000000001
5220131,8.79093743112328,2.041696,1.047744,0.993952
5221924,7.386937431123281,2.073696,1.0577439999999998,1.0159520000000002
5211725,7.219937431123283,1.7506960000000005,0.8617440000000001,0.8889520000000002
5212574,8.632937431123283,2.002696,1.007744,0.9949519999999998
5213187,7.799937431123281,1.889696,0.962744,0.926952
5213646,6.888937431123281,1.515696,0.7177439999999999,0.797952
5213408,7.727937431123282,1.748696,0.8447439999999999,0.903952
5214315,-0.0530625688767171,1.0776960000000002,0.371744,0.7059520000000001
5214355,-0.0530625688767171,1.0776960000000002,0.370744,0.7069520000000002
5214845,8.490937431123283,2.009696,1.024744,0.984952
5214879,5.050937431123282,1.169696,0.5967439999999999,0.5729520000000001
5215425,8.340937431123281,2.378696,1.148744,1.2299519999999995
5215669,7.803937431123282,1.8026960000000003,0.898744,0.9039520000000004
5220739,8.78793743112328,2.140696,1.0737439999999998,1.066952
5220146,6.9029374311232825,1.471696,0.753744,0.7179519999999999
5220990,7.53493743112328,1.864696,0.9447439999999998,0.9199520000000004
5220221,1.6619374311232828,1.135696,0.3097439999999999,0.825952
5221033,5.502937431123282,2.429696,1.253744,1.175952
5222420,2.1929374311232817,1.156696,0.4037439999999999,0.7529520000000001
5221933,8.307937431123284,2.195696,1.1107439999999995,1.084952
5221698,2.3449374311232827,2.145696,0.884744,1.260952
5222419,6.779937431123281,1.7676960000000002,0.886744,0.8809520000000002
5222078,4.759937431123282,1.2546960000000005,0.648744,0.6059520000000003
5211995,8.132937431123283,1.834696,0.8917439999999999,0.942952
5212419,5.635937431123281,1.483696,0.7307439999999998,0.7529520000000001
5212914,7.930937431123281,1.968696,1.011744,0.9569520000000002
5213921,6.095937431123282,1.486696,0.749744,0.736952
5214429,7.165937431123282,1.691696,0.8407439999999999,0.8509520000000002
5214470,4.900937431123282,1.2876960000000002,0.636744,0.6509520000000002
5213030,8.324937431123283,2.138696,1.055744,1.082952
5213187,7.721937431123282,1.6466960000000002,0.8227439999999999,0.8239520000000002
5214926,7.083937431123282,1.4806960000000002,0.7387439999999998,0.7419520000000004
5221399,8.977937431123282,2.223696,1.1027439999999995,1.1209520000000002
5222761,8.842937431123284,1.989696,0.953744,1.0359520000000002
5222885,8.463937431123282,1.8876960000000005,0.945744,0.9419520000000003
5222114,8.491937431123281,1.8996960000000005,0.951744,0.9479520000000003
5222896,8.151937431123281,1.812696,0.876744,0.935952
5222701,7.794937431123282,1.7956960000000002,0.8797439999999999,0.9159520000000004
5214374,6.921937431123283,1.893696,0.9927439999999998,0.9009520000000002
5213112,7.296937431123283,2.016696,1.009744,1.006952
5213956,6.090937431123281,1.696696,0.850744,0.845952
5214877,6.395937431123283,2.091696,1.064744,1.026952
5215031,6.446937431123283,1.785696,0.915744,0.8699520000000001
5214984,6.920937431123281,1.425696,0.708744,0.716952
5215459,5.860937431123283,1.4156960000000005,0.716744,0.6989520000000002
5221434,6.709937431123283,1.7786960000000005,0.8797439999999999,0.8989520000000004
5222336,6.227937431123282,1.4966960000000002,0.7387439999999998,0.7579520000000004
5222757,8.706937431123281,2.190696,1.1347439999999998,1.0559520000000002
5214296,7.558937431123281,1.864696,0.959744,0.9049520000000002
5214683,6.985937431123283,1.736696,0.8657440000000001,0.870952
5215826,8.06693743112328,1.803696,0.9207439999999998,0.8829520000000004
5215462,8.879937431123283,2.049696,1.0417439999999998,1.0079520000000002
5220231,5.792937431123281,1.340696,0.656744,0.6839520000000001
5220553,6.295937431123281,1.479696,0.7877439999999998,0.6919520000000001
5212477,8.943937431123283,2.517696,1.289744,1.227952
5214296,7.548937431123283,1.876696,0.880744,0.9959520000000002
5213804,8.568937431123283,2.137696,1.0377439999999998,1.0999520000000005
5214336,7.121937431123282,1.7146960000000002,0.8077439999999998,0.9069520000000004
5214683,7.025937431123282,1.757696,0.8557439999999998,0.901952
5214864,5.774937431123282,1.5286960000000005,0.7057439999999999,0.8229520000000003
5214986,8.208937431123283,2.255696,1.1097439999999998,1.145952
5214864,5.774937431123282,1.5286960000000005,0.7057439999999999,0.8229520000000003
5215826,8.026937431123281,1.725696,0.8277439999999998,0.8979520000000001
5215193,6.5329374311232815,1.4886960000000002,0.690744,0.7979520000000002
5215185,6.773937431123283,1.5136960000000002,0.684744,0.8289520000000001
5220536,8.940937431123283,2.282696,1.157744,1.1249519999999995
5220339,7.007937431123283,1.852696,0.910744,0.941952
5220553,6.311937431123281,1.477696,0.753744,0.7239520000000002
5222857,6.565937431123283,1.5496960000000002,0.745744,0.8039520000000002
5222891,6.565937431123283,1.5496960000000002,0.745744,0.8039520000000002
5222447,7.520937431123281,1.8996960000000005,0.990744,0.9089520000000002
5222400,6.6849374311232825,1.461696,0.6957439999999999,0.7659520000000002
5211803,8.457937431123282,2.257696,1.1427439999999998,1.114952
5213328,8.577937431123283,2.758696,1.2067439999999998,1.5519519999999998
5213943,6.258937431123282,2.175696,1.083744,1.0919519999999998
5213401,8.340937431123281,2.050696,0.946744,1.1039519999999998
5213291,6.392937431123283,2.261696,1.1067439999999995,1.154952
5214972,5.647937431123282,1.338696,0.6297440000000001,0.7089519999999998
5214507,7.176937431123282,2.079696,1.028744,1.050952
5215632,7.747937431123281,1.943696,0.9367439999999998,1.006952
5215217,5.853937431123283,1.815696,0.890744,0.9249520000000002
5215941,8.000937431123281,1.9236960000000003,0.929744,0.9939520000000004
5220479,6.478937431123283,1.510696,0.6757439999999999,0.8349520000000001
5220779,6.829937431123282,1.608696,0.7587439999999999,0.849952
5220562,8.245937431123282,1.914696,0.953744,0.960952
5220481,6.363937431123283,1.501696,0.6957439999999999,0.8059520000000002
5222676,5.9509374311232826,1.3516960000000002,0.6877439999999999,0.6639520000000003
5222192,5.818937431123283,1.515696,0.7157439999999999,0.799952
5221592,8.160937431123282,4.791696,2.777744,2.013952
5221719,7.9909374311232835,1.934696,0.970744,0.963952
5221956,8.193937431123283,2.070696,1.020744,1.049952
5211662,3.8359374311232814,1.189696,0.539744,0.6499520000000001
5213167,2.6549374311232814,1.1866960000000002,0.6077440000000001,0.5789520000000001
5214308,8.206937431123281,2.375696,1.237744,1.1379519999999996
5214155,8.786937431123283,1.948696,0.9887439999999998,0.9599520000000004
5214026,8.29393743112328,2.054696,0.9847439999999998,1.069952
5215786,8.885937431123283,2.040696,1.0457439999999998,0.9949520000000004
5215801,6.931937431123282,1.872696,0.911744,0.9609520000000004
5215791,6.577937431123281,1.971696,0.973744,0.997952
5221501,7.674937431123281,1.868696,0.905744,0.962952
5220584,5.621937431123282,1.3916960000000005,0.6437440000000001,0.7479520000000002
5221867,8.657937431123282,1.974696,0.9487439999999998,1.0259520000000002
5222865,8.734937431123283,1.906696,0.888744,1.017952
5221864,4.214937431123282,1.149696,0.5507439999999999,0.5989520000000002
5222300,7.098937431123282,1.6416960000000005,0.7767440000000001,0.8649520000000002
5221501,7.674937431123281,1.868696,0.905744,0.962952
5212572,8.923937431123283,2.146696,1.103744,1.042952
5212417,8.826937431123282,2.205696,1.060744,1.1449519999999995
5214428,6.9639374311232825,2.451696,1.220744,1.2309519999999996
5214161,7.300937431123282,1.955696,0.913744,1.041952
5213130,8.725937431123283,2.082696,0.996744,1.085952
5214195,7.5839374311232834,2.124696,1.014744,1.1099519999999996
5213794,7.631937431123282,1.809696,0.868744,0.940952
5215541,7.007937431123283,1.652696,0.8147439999999999,0.837952
5220054,2.143937431123282,0.930696,0.465744,0.4649519999999998
5215176,7.979937431123281,2.338696,1.161744,1.1769519999999998
5214907,8.221937431123282,2.626696,1.3487439999999995,1.2779520000000002
5215233,7.766937431123283,1.7706960000000005,0.849744,0.9209520000000002
5220484,8.905937431123283,1.916696,0.9367439999999998,0.9799520000000004
5220226,8.206937431123281,2.054696,1.017744,1.036952
5220917,5.363937431123283,1.485696,0.7447440000000001,0.740952
5220054,2.143937431123282,0.930696,0.465744,0.4649519999999998
5220054,2.143937431123282,0.930696,0.465744,0.4649519999999998
5222176,8.971937431123282,2.548696,1.1547439999999998,1.393952
5221504,8.583937431123283,2.107696,1.012744,1.094952
5222507,7.8049374311232835,3.026696,1.3317439999999998,1.694952
5212876,7.3149374311232815,1.697696,0.785744,0.911952
5211846,8.54393743112328,1.840696,0.8897440000000001,0.950952
5213220,8.834937431123281,1.937696,0.9207439999999998,1.0169520000000003
5214031,8.129937431123283,2.175696,1.078744,1.096952
5213944,8.78793743112328,2.099696,1.048744,1.050952
5213607,7.410937431123282,2.517696,1.111744,1.405952
5215015,8.664937431123283,1.9396960000000003,0.9327439999999998,1.0069520000000003
5215880,7.75293743112328,1.901696,0.967744,0.933952
5215441,8.539937431123283,2.954696,1.269744,1.6849519999999998
5220835,8.44793743112328,1.8916960000000005,0.973744,0.9179520000000004
5221499,6.8259374311232826,1.9316960000000003,0.963744,0.9679520000000004
5220864,8.45093743112328,1.894696,0.967744,0.926952
5221499,6.8259374311232826,1.9316960000000003,0.963744,0.9679520000000004
5221346,5.552937431123283,1.377696,0.642744,0.734952
5222843,8.471937431123282,2.187696,1.124744,1.062952
5222894,7.243937431123282,1.868696,0.913744,0.9549520000000002
5222525,7.643937431123282,1.696696,0.8267439999999999,0.8699520000000001
5223748,7.341937431123283,1.7706960000000005,0.8757439999999999,0.8949520000000004
5224100,7.961937431123284,2.400696,1.127744,1.272952
5223724,7.342937431123282,1.7716960000000002,0.876744,0.8949520000000002
5224100,7.961937431123284,2.400696,1.1307439999999995,1.2699520000000002
5223599,8.382937431123283,2.293696,1.169744,1.1239519999999998
5225976,4.9349374311232825,1.223696,0.6177440000000001,0.605952
5225582,4.7989374311232815,1.471696,0.666744,0.8049519999999999
5225626,4.220937431123282,1.668696,0.817744,0.8509519999999999
5225533,8.44493743112328,1.7826960000000005,0.8837439999999999,0.8989520000000004
5230394,5.708937431123282,1.3676960000000002,0.670744,0.6969520000000002
5232228,4.780937431123283,1.312696,0.6597439999999999,0.6529520000000002
5233731,6.660937431123282,1.748696,0.8837439999999999,0.8649520000000002
5233774,6.660937431123282,1.748696,0.8837439999999999,0.8649520000000002
5233090,4.489937431123282,1.2466960000000002,0.6677439999999999,0.5789520000000004
5223224,6.264937431123283,1.7836960000000002,0.888744,0.8949520000000002
5225727,6.779937431123281,1.595696,0.8117439999999998,0.7839520000000002
5230498,6.465937431123281,2.151696,1.059744,1.0919519999999998
5230236,4.622937431123281,1.240696,0.6497440000000001,0.5909519999999999
5230058,7.057937431123282,1.7676960000000002,0.8997439999999999,0.8679520000000003
5230746,7.811937431123281,2.703696,1.257744,1.445952
5231341,6.0009374311232815,1.4356960000000003,0.710744,0.7249520000000003
5231191,7.940937431123283,1.697696,0.813744,0.8839519999999998
5232670,8.464937431123284,2.283696,1.090744,1.192952
5233204,8.962937431123281,2.159696,1.144744,1.014952
5233228,6.941937431123282,1.837696,0.942744,0.894952
5233383,5.508937431123282,1.550696,0.8127439999999999,0.7379520000000002
5233417,5.6049374311232825,1.781696,0.9447439999999998,0.8369520000000001
5223400,5.675937431123282,2.205696,1.129744,1.0759519999999998
5224365,6.770937431123283,1.832696,0.9287439999999998,0.9039520000000004
5225069,7.290937431123282,1.860696,0.961744,0.8989520000000002
5225366,7.644937431123283,2.760696,1.253744,1.5069519999999998
5225196,5.646937431123282,1.320696,0.6437440000000001,0.676952
5231165,6.134937431123282,1.4316960000000003,0.729744,0.7019520000000004
5231036,6.5329374311232815,1.3796960000000005,0.684744,0.6949520000000002
5230531,4.432937431123282,1.4156960000000005,0.7037439999999999,0.7119520000000004
5231079,5.276937431123281,1.386696,0.6957439999999999,0.690952
5231175,6.134937431123282,1.4326960000000002,0.729744,0.7029520000000002
5232468,5.708937431123282,2.538696,1.289744,1.2489519999999998
5231565,6.913937431123282,1.5446960000000003,0.7667439999999999,0.7779520000000004
5231636,5.319937431123282,1.293696,0.6357440000000001,0.6579519999999999
5231631,5.679937431123282,1.324696,0.648744,0.6759520000000001
5234028,6.4689374311232815,1.6666960000000002,0.8937440000000001,0.7729520000000001
5233101,6.352937431123282,1.731696,0.880744,0.8509520000000002
5222885,8.496937431123284,1.833696,0.923744,0.909952
5222896,8.157937431123282,1.7986960000000003,0.925744,0.8729520000000004
5222701,7.797937431123282,1.7786960000000005,0.906744,0.8719520000000003
5224962,8.143937431123282,1.861696,0.913744,0.947952
5225150,6.454937431123282,1.5366960000000005,0.7527440000000001,0.7839520000000002
5225484,7.009937431123282,1.482696,0.708744,0.773952
5224989,6.346937431123282,1.5376960000000002,0.763744,0.7739520000000002
5224938,8.144937431123283,1.862696,0.914744,0.947952
5224522,7.279937431123281,1.663696,0.8387439999999999,0.8249520000000001
5230170,6.670937431123281,1.965696,1.009744,0.955952
5230333,6.1849374311232825,1.3916960000000005,0.6917439999999999,0.6999520000000004
5231088,6.722937431123283,1.7826960000000005,0.9407439999999998,0.8419520000000005
5230611,4.194937431123282,1.257696,0.6197440000000001,0.6379519999999999
5230627,6.967937431123282,1.6826960000000002,0.8087439999999999,0.8739520000000003
5230835,6.158937431123283,1.4326960000000002,0.7427439999999998,0.6899520000000003
5232442,7.619937431123281,1.829696,0.947744,0.8819520000000001
5232129,7.559937431123282,1.6336960000000005,0.809744,0.8239520000000002
5232146,8.109937431123283,1.902696,0.955744,0.946952
5231777,7.512937431123282,1.600696,0.7947439999999999,0.805952
5232288,6.300937431123282,1.449696,0.712744,0.736952
5233212,7.010937431123281,1.708696,0.8757439999999999,0.8329520000000001
5233698,6.118937431123282,1.333696,0.6597439999999999,0.6739520000000001
5222757,8.434937431123283,2.048696,1.013744,1.034952
5223588,2.839937431123282,2.318696,1.1347439999999998,1.183952
5223157,6.566937431123282,1.816696,0.911744,0.9049520000000002
5223167,7.845937431123284,1.753696,0.854744,0.898952
5225946,8.207937431123282,1.853696,0.9607439999999998,0.8929520000000002
5224684,8.10193743112328,2.711696,1.2597439999999998,1.451952
5224672,8.00293743112328,2.701696,1.2317439999999995,1.469952
5224557,7.994937431123281,1.680696,0.8077439999999998,0.8729520000000002
5225080,5.240937431123282,1.631696,0.8307439999999999,0.8009520000000001
5225693,6.170937431123281,1.664696,0.841744,0.8229519999999999
5224915,6.5439374311232825,1.7586960000000005,0.8877439999999999,0.8709520000000004
5224802,7.037937431123282,1.955696,0.990744,0.9649519999999998
5230909,7.231937431123281,1.507696,0.747744,0.759952
5231365,5.063937431123282,1.344696,0.6637439999999999,0.6809520000000002
5230142,7.881937431123282,1.707696,0.8357439999999998,0.8719520000000003
5230147,6.526937431123281,1.579696,0.7747439999999999,0.8049520000000001
5230114,5.411937431123283,2.178696,1.1147439999999995,1.0639520000000002
5230367,6.355937431123282,1.963696,0.981744,0.981952
5232016,6.8709374311232825,1.898696,0.975744,0.922952
5232675,2.7999374311232827,0.791696,0.3757439999999999,0.415952
5231964,6.779937431123281,1.442696,0.710744,0.7319519999999999
5231790,6.885937431123281,1.538696,0.755744,0.7829520000000001
5231776,7.474937431123282,1.6626960000000002,0.8357439999999998,0.8269520000000004
5231790,6.885937431123281,1.538696,0.755744,0.7829520000000001
5233688,8.312937431123283,2.101696,1.155744,0.945952
5233259,6.175937431123282,1.660696,0.8367439999999999,0.823952
5233371,7.094937431123283,1.712696,0.8537440000000001,0.8589519999999999
5224239,7.937937431123283,1.940696,1.008744,0.9319520000000004
5223501,7.106937431123281,2.008696,1.021744,0.986952
5223879,7.092937431123282,1.756696,0.921744,0.8349520000000001
5225128,7.050937431123282,1.781696,0.888744,0.892952
5230715,7.707937431123282,1.741696,0.856744,0.884952
5222891,6.514937431123283,1.510696,0.755744,0.7549520000000001
5222891,6.514937431123283,1.510696,0.755744,0.7549520000000001
5224239,7.9079374311232815,1.909696,0.9607439999999998,0.9489520000000002
5223422,6.608937431123282,1.872696,0.925744,0.9469520000000002
5223694,6.608937431123282,2.114696,1.060744,1.053952
5223737,7.261937431123282,1.837696,0.906744,0.930952
5223879,7.102937431123282,1.759696,0.921744,0.8379520000000003
5225128,7.069937431123282,1.7706960000000005,0.8797439999999999,0.8909520000000004
5230715,7.709937431123281,1.761696,0.8317439999999998,0.929952
5232008,5.615937431123282,1.8026960000000003,0.914744,0.8879520000000003
5232804,7.5839374311232834,1.607696,0.785744,0.821952
5233241,8.142937431123281,2.263696,1.1147439999999995,1.1489520000000002
5233313,6.640937431123282,1.612696,0.8147439999999999,0.797952
5233230,8.148937431123281,2.270696,1.119744,1.1509519999999995
5224052,6.358937431123282,1.765696,0.8917439999999999,0.8739520000000001
5224105,6.983937431123282,1.450696,0.710744,0.7399519999999999
5224175,5.953937431123283,2.107696,1.051744,1.0559519999999998
5224416,8.077937431123283,1.761696,0.8737440000000001,0.8879519999999999
5223356,4.281937431123282,1.962696,0.994744,0.967952
5223204,7.770937431123281,1.838696,0.933744,0.904952
5225289,5.036937431123283,2.024696,1.030744,0.993952
5224635,6.840937431123281,1.459696,0.7117439999999999,0.747952
5225808,5.425937431123282,1.868696,0.9487439999999998,0.9199520000000004
