ID,Unnamed: 0,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I),dif_VI,dif_VR
5220182,534,17.162,0.035,0.607,0.046,1.16,0.056,8.523937431123281,1.352696,0.700744,0.6519520000000001,-1.2152271499874034,-0.970286627793504
5220231,535,14.431,0.004,0.563,0.006,1.148,0.007,5.792937431123281,1.340696,0.656744,0.6839520000000001,1.463247423454562,1.335632096665563
5220553,537,14.934,0.005,0.694,0.007,1.287,0.008,6.295937431123281,1.479696,0.7877439999999998,0.6919520000000001,1.5580005125064451,2.079059295035856
5220586,539,17.508,0.047,0.822,0.058,1.655,0.063,8.869937431123281,1.847696,0.915744,0.9319520000000004,0.4578913012682335,0.6657716551298289
5221605,541,17.244,0.038,-0.475,0.101,0.361,0.111,8.605937431123282,0.553696,-0.381256,0.934952,-5.200244490123694,-13.126035355504388
5212477,558,17.582,0.047,1.196,0.053,2.325,0.054,8.943937431123283,2.517696,1.289744,1.227952,2.6985459022482825,3.635280247220262
5214296,565,16.187,0.013,0.787,0.017,1.684,0.018,7.548937431123283,1.876696,0.880744,0.9959520000000002,1.8886088072750038,1.6751509458583076
5213804,568,17.207,0.032,0.944,0.038,1.945,0.04,8.568937431123283,2.137696,1.0377439999999998,1.0999520000000005,1.8159864493063136,2.0181143978984846
5214336,571,15.76,0.01,0.714,0.014,1.522,0.015,7.121937431123282,1.7146960000000002,0.8077439999999998,0.9069520000000004,1.6908918358093494,1.438211875655254
5214728,578,17.572,0.043,0.707,0.056,1.313,0.068,8.933937431123281,1.505696,0.8007439999999999,0.7049520000000002,-0.9707526650973461,-0.4384339314212724
5214683,579,15.664,0.009,0.762,0.011,1.565,0.013,7.025937431123282,1.757696,0.8557439999999998,0.901952,1.9555374621111348,1.9728888711192312
5214864,580,14.413,0.004,0.612,0.006,1.336,0.006,5.774937431123282,1.5286960000000005,0.7057439999999999,0.8229520000000003,2.2842247869109595,1.8266103617485
5215702,585,17.571,0.048,0.8,0.061,1.561,0.067,8.932937431123284,1.753696,0.8937440000000001,0.8599519999999998,0.03293649121736486,0.40740818768546205
5214986,586,16.847,0.023,1.016,0.027,2.063,0.028,8.208937431123283,2.255696,1.1097439999999998,1.145952,2.5814282691303436,2.972493583700256
5214864,587,14.413,0.004,0.612,0.006,1.336,0.006,5.774937431123282,1.5286960000000005,0.7057439999999999,0.8229520000000003,2.2842247869109595,1.8266103617485
5215602,588,16.131,0.014,0.562,0.02,1.211,0.024,7.492937431123282,1.4036960000000005,0.6557440000000001,0.7479520000000002,0.0370537287239463,-0.37410326753983725
5215602,589,16.82,0.027,0.499,0.037,1.182,0.043,8.181937431123282,1.374696,0.5927439999999999,0.781952,-0.7773859707558666,-1.6830112105739428
5215826,590,16.665,0.022,0.734,0.028,1.533,0.03,8.026937431123281,1.725696,0.8277439999999998,0.8979520000000001,0.8292304710503569,0.7169746017178245
5215168,591,17.545,0.044,0.845,0.055,1.7,0.059,8.906937431123284,1.892696,0.938744,0.953952,0.590753542343661,0.831148728719759
5215193,593,15.171,0.007,0.597,0.009,1.296,0.01,6.5329374311232815,1.4886960000000002,0.690744,0.7979520000000002,1.3589071303065596,0.9246687428825942
5215185,594,15.412,0.008,0.591,0.011,1.321,0.013,6.773937431123283,1.5136960000000002,0.684744,0.8289520000000001,1.2227013135692602,0.6258819592398135
5221342,599,17.469,0.043,0.582,0.062,1.362,0.068,8.830937431123283,1.554696,0.6757439999999999,0.8789520000000002,-0.6640253093276343,-1.5180225381701167
5220809,604,16.822,0.025,0.709,0.033,1.509,0.038,8.183937431123281,1.701696,0.8027439999999999,0.898952,0.5774983008973145,0.33005364794296455
5220182,608,17.146,0.034,0.566,0.047,1.213,0.057,8.507937431123283,1.405696,0.6597439999999999,0.7459520000000002,-0.9693326894857233,-1.3501815575997167
5220536,610,17.579,0.056,1.064,0.065,2.09,0.067,8.940937431123283,2.282696,1.157744,1.1249519999999995,1.9402667016741226,2.6257059566005854
5220339,611,15.646,0.01,0.817,0.013,1.66,0.013,7.007937431123283,1.852696,0.910744,0.941952,2.3388731685002284,2.4835236745887013
5220553,619,14.95,0.006,0.66,0.008,1.285,0.01,6.311937431123281,1.477696,0.753744,0.7239520000000002,1.5335637922800984,1.7451378299286535
5220586,621,17.604,0.053,0.922,0.064,1.761,0.066,8.965937431123281,1.953696,1.015744,0.937952,0.758539280072954,1.4355944559751688
5222857,623,15.204,0.012,0.652,0.016,1.357,0.019,6.565937431123283,1.5496960000000002,0.745744,0.8039520000000002,1.5803148630618349,1.4157583361166814
5222466,627,17.023,0.037,0.811,0.047,1.556,0.051,8.384937431123282,1.748696,0.904744,0.843952,0.5614102507464764,1.0533072997120936
5222715,628,16.672,0.03,0.679,0.039,1.267,0.046,8.033937431123283,1.459696,0.7727440000000001,0.6869519999999998,-0.26458032683490185,0.20128864141940817
5221642,629,17.028,0.03,0.527,0.045,1.222,0.049,8.38993743112328,1.414696,0.620744,0.793952,-0.8126311666859412,-1.6139044409722425
5222891,630,15.204,0.012,0.652,0.016,1.357,0.019,6.565937431123283,1.5496960000000002,0.745744,0.8039520000000002,1.5803148630618349,1.4157583361166814
5222968,631,16.09,0.025,0.619,0.033,1.193,0.039,7.451937431123282,1.385696,0.712744,0.672952,0.0003143208484246429,0.21652540704330825
5222447,632,16.159,0.017,0.897,0.022,1.707,0.024,7.520937431123281,1.8996960000000005,0.990744,0.9089520000000002,2.002980235770716,2.667586557031287
5222400,633,15.323,0.008,0.602,0.011,1.269,0.013,6.6849374311232825,1.461696,0.6957439999999999,0.7659520000000002,1.0928991462822264,0.8207327817282382
5211803,656,17.096,0.031,1.049,0.036,2.065,0.037,8.457937431123282,2.257696,1.1427439999999998,1.114952,2.339181452832623,2.9892864489815025
5213328,665,17.216,0.032,1.113,0.037,2.566,0.035,8.577937431123283,2.758696,1.2067439999999998,1.5519519999999998,3.793126736977534,3.3726699233117987
5213943,667,14.897,0.005,0.99,0.006,1.983,0.007,6.258937431123282,2.175696,1.083744,1.0919519999999998,4.258067163802966,4.710131071605595
5214463,672,16.424,0.017,1.254,0.02,1.928,0.023,7.785937431123282,2.120696,1.3477439999999998,0.7729519999999999,2.5394262546042974,5.215978332932728
