ID,Unnamed: 0,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I),dif_VI,dif_VR,dif_RI
5212528,2,15.616,0.022,0.685,0.03,1.343,0.033,6.977937431123282,1.535696,0.7787439999999999,0.7569520000000001,1.1103121151930413,1.3132897953121212,0.942892945910609
5212026,7,15.719,0.011,0.828,0.015,1.601,0.016,7.0809374311232816,1.793696,0.921744,0.8719520000000001,2.0401482067977064,2.5077502053089162,1.6836187564929492
5220234,35,17.412,0.042,1.025,0.05,1.946,0.053,8.773937431123281,2.138696,1.1187439999999995,1.0199520000000002,1.6144808845955296,2.480399462648906,0.9811444468483899
5221173,41,16.501,0.024,0.778,0.029,1.552,0.031,7.862937431123283,1.744696,0.8717439999999999,0.8729520000000002,1.0677692161882124,1.2803121920182914,0.9086604043086446
5220019,43,16.382,0.018,0.784,0.023,1.514,0.025,7.743937431123284,1.7066960000000002,0.8777440000000001,0.8289520000000001,1.037287533554677,1.4532367242679154,0.7131030240756928
5220884,46,14.656,0.004,1.061,0.005,2.065,0.005,6.017937431123283,2.257696,1.1547439999999998,1.102952,4.779181452832622,5.524892156182755,4.249992321118093
5212242,64,13.801,0.003,0.779,0.004,1.563,0.004,5.162937431123282,1.755696,0.872744,0.8829520000000002,3.810739200035089,3.9893085030588953,3.6788060297591176
5211764,69,17.528,0.045,1.038,0.054,1.92,0.056,8.88993743112328,2.112696,1.131744,0.9809519999999996,1.407296524638884,2.469156567182754,0.6139198289328345
5214145,78,17.32,0.038,1.051,0.045,1.974,0.047,8.681937431123282,2.166696,1.144744,1.021952,1.8039159620567347,2.7812596256833917,1.0858468424883174
